Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
CONFIRMED,5,171.74,0.71,2.17,935,2.78,917,28.2,5339,4.55,0.85,297.81,47.95,15.86
CONFIRMED,4.28,171.9,0.42,2.88,751,2.3,1012,61.8,5644,4.56,0.83,294.27,49.31,15.36
FALSE POSITIVE,1.51,171,0.86,1.52,2210,4.53,1452,181.1,5714,4.56,0.83,295.67,49.35,15.53
FALSE POSITIVE,670.65,209.04,0.7,53.41,18100,14.14,196,642.7,5520,4.47,0.98,296.7,49.32,15.21
FALSE POSITIVE,61.26,173.84,1.25,7.63,5120,39.87,505,85.3,6144,4.4,1.09,283.73,49.48,15.25
CONFIRMED,38.38,172.82,0.47,5.59,724,2.82,529,34.7,5481,4.37,1.04,291.72,49.48,15.17
CONFIRMED,41.2,165,0.05,4.63,2210,3.86,439,51.2,5031,4.49,0.85,287,48.38,15.84
CONFIRMED,6.25,171.3,0.11,2.58,1040,2.65,823,47.1,5031,4.49,0.85,287,48.38,15.84
CONFIRMED,16.01,176.36,0.8,3.26,1120,3.1,593,33.2,5015,4.5,0.83,297.03,48.48,15.39
CONFIRMED,32.63,194.1,0.02,4.8,1800,3.36,506,80,5586,4.56,0.8,285.72,48.51,15.08
CONFIRMED,91.77,193.84,0.61,6.47,652,2.12,359,19.1,5586,4.56,0.8,285.72,48.51,15.08
FALSE POSITIVE,2.7,170.7,1.02,3.38,860,6.54,1222,48.3,5550,4.47,0.91,297.92,48.78,15.54
CONFIRMED,4.5,171.35,0.31,3.74,460,2.1,1133,29.5,6075,4.49,0.97,298.46,48.79,15.4
FALSE POSITIVE,19.65,179.4,0.72,5.25,11800,12.42,730,513.4,6074,4.39,1.06,291.09,48.93,15.54
CONFIRMED,5.41,133.14,0.79,2.95,602,2.94,1093,166.7,5779,4.34,1.09,287.89,46.28,12.79
CONFIRMED,41.44,208.93,0.36,10.6,2790,5.5,516,141.1,5468,4.37,1.05,295.56,49.02,15.4
CONFIRMED,8.35,171.63,0.02,2.25,1040,2.52,790,43.4,5592,4.58,0.79,285.5,49.28,15.32
CONFIRMED,4.13,169.75,0.6,3.17,1490,4.43,1243,128.6,6174,4.42,1.1,291.94,49.25,15.51
CONFIRMED,2.82,170.97,0.11,2.51,16800,12.21,1219,1406.8,5532,4.45,0.96,297.02,49.23,15.05
FALSE POSITIVE,33.93,186.68,0.81,14.56,8500,7.34,430,236.1,5040,4.63,0.71,284.17,49.36,15.72
CONFIRMED,3.69,170.37,0.15,2.66,427,1.89,1147,35.6,5880,4.52,0.92,291.62,50.62,15.24
CONFIRMED,4.43,171.02,0.41,3.15,1010,3.25,1104,71.1,5714,4.43,1.02,295.82,51.12,15.37
CONFIRMED,11.38,133.85,0.91,2.63,1020,3.95,806,37.9,5714,4.43,1.02,295.82,51.12,15.37
CONFIRMED,26.39,176.05,0.6,3.57,1510,3.07,489,48.2,5129,4.6,0.76,289.4,51.25,15.23
CONFIRMED,13.57,136.28,0.87,3.35,512,2.64,785,88.4,5854,4.41,1.01,300.86,44.34,12.88
CONFIRMED,7.13,139,0.9,3,192,1.79,997,47.1,5779,4.34,1.09,287.89,46.28,12.79
FALSE POSITIVE,7.44,169.97,0.14,2.31,24400,15.03,967,835.6,6108,4.47,0.96,288.99,49.73,15.27
CONFIRMED,16.38,172.73,0,3.02,1130,2,433,28.9,4126,4.66,0.62,286.74,49.98,15.1
CONFIRMED,7.88,176.38,0.04,2.08,1310,2.16,553,38.7,4126,4.66,0.62,286.74,49.98,15.1
CONFIRMED,36.45,151.6,0.03,4.01,1120,1.99,332,21.7,4126,4.66,0.62,286.74,49.98,15.1
CONFIRMED,3.73,171.79,0.56,2.68,5230,6.02,1023,345.2,5497,4.58,0.81,290.79,50.05,15.52
CONFIRMED,2.24,170.68,0.92,1.12,822,1.99,822,38.9,4149,4.7,0.56,285.18,50.15,15.14
FALSE POSITIVE,10.41,177.2,0.32,6.5,14500,11.23,833,745.2,5746,4.39,0.92,289.24,50.24,15.56
CONFIRMED,2.34,171.76,0.28,2,971,2.34,1070,82.4,5005,4.6,0.77,293.83,50.23,15.33
CONFIRMED,11.6,180.4,0.68,2.52,2800,2.65,396,71,3688,4.79,0.47,296.22,50.29,15.94
CONFIRMED,6.58,173.63,0.39,4.31,2790,5.31,1015,221.1,5992,4.42,0.99,290.1,50.32,15.31
CONFIRMED,7.28,169.99,0.55,7.54,3000,4.86,833,312.1,5485,4.56,0.87,295.46,50.49,15.08
CONFIRMED,19.27,186.77,0.03,2.76,1220,1.93,393,37.1,4077,4.7,0.56,293.97,50.53,15.39
CONFIRMED,10.07,136.29,0.63,1.37,1050,1.91,488,30.3,4077,4.7,0.56,293.97,50.53,15.39
CONFIRMED,12.39,178.75,0.88,3.89,917,2.66,677,35.8,5557,4.6,0.75,296.02,50.57,15.51
CONFIRMED,43.84,151.94,0.85,6.8,615,2.87,531,83.7,5854,4.41,1.01,300.86,44.34,12.88
FALSE POSITIVE,3.34,171.64,1.21,3.81,725,21.55,1032,39,5295,4.55,0.81,292.32,38.27,15.63
CONFIRMED,2.71,170.03,0.02,3.01,838,3.12,1420,64.5,6214,4.44,1.08,291.65,38.49,15.54
CONFIRMED,7.21,172.82,0.01,4.05,950,3.32,1025,51.5,6214,4.44,1.08,291.65,38.49,15.54
FALSE POSITIVE,14.18,171.5,0.16,2.51,460,1.88,711,11.2,5799,4.54,0.88,291.04,51.32,15.73
CONFIRMED,8.47,174.16,0.02,2.72,1120,2.59,751,47.6,5354,4.59,0.79,296.37,51.32,15.34
CONFIRMED,60.42,181.16,0.09,5.04,931,2.36,390,20.1,5354,4.59,0.79,296.37,51.32,15.34
CONFIRMED,12.61,180.89,0.55,5.15,6110,7.4,753,277.2,5795,4.51,0.92,289.11,51.74,15.14
FALSE POSITIVE,1.43,170.4,1.27,1.89,1980,46.58,1920,112.6,6017,4.22,1.34,290.84,37.73,15.12
FALSE POSITIVE,10.32,173.32,1.22,3.84,872,28.59,876,38.2,5927,4.41,1.06,291.85,37.71,15.07
CONFIRMED,2.54,169.67,0.24,2.43,382,2.06,1332,38.9,5519,4.35,1.06,291.44,37.91,15.03
CONFIRMED,6.77,170.58,0.84,2.08,1300,2.77,812,50.8,5653,4.66,0.68,290.87,38.27,15.59
FALSE POSITIVE,0.44,169.87,1.26,2.08,11000,27.51,1836,299.7,5255,4.68,0.64,291,38.28,15.75
CONFIRMED,20.06,147.47,0.56,3.32,1490,1.96,361,35.2,3950,4.75,0.49,286.08,39.28,15.95
CONFIRMED,46.18,165.24,0.01,4.76,1390,1.83,273,26,3950,4.75,0.49,286.08,39.28,15.95
CONFIRMED,23.98,147.54,0.95,5.35,104,1.31,649,17.1,5854,4.41,1.01,300.86,44.34,12.88
CONFIRMED,7.83,136.55,0.71,2.19,521,1.2,494,15.9,3950,4.75,0.49,286.08,39.28,15.95
CONFIRMED,3.9,170.53,0.52,2.31,8540,7.34,1005,370.8,5557,4.59,0.77,294.66,39.31,15.73
CONFIRMED,22.37,175.46,0.4,5.23,987,2.32,536,32.1,5395,4.62,0.73,294.71,39.52,15.58
CONFIRMED,1.63,170.83,0.08,2.39,7970,9.73,1579,799.7,5539,4.32,1.11,293.87,38.42,15
FALSE POSITIVE,7.54,171.8,1.18,6.22,323,17.47,838,14.2,5657,4.57,0.82,293.94,38.6,15.56
FALSE POSITIVE,10.33,174.58,0.28,7.79,16900,13.28,843,636.8,5627,4.36,1.02,287.7,38.89,15.65
CONFIRMED,143.21,154.24,0.38,8.93,10600,8.9,308,138.8,5485,4.56,0.87,285.28,38.95,15.4
CONFIRMED,6.16,135.64,0.65,3.26,55.8,0.79,1021,14.4,5854,4.41,1.01,300.86,44.34,12.88
CONFIRMED,60.32,243.89,0.22,6.62,20300,12.19,411,347.2,5485,4.56,0.87,285.28,38.95,15.4
CONFIRMED,29.16,150.7,0.36,4.8,488,1.91,524,11.6,5485,4.56,0.87,285.28,38.95,15.4
FALSE POSITIVE,1.54,170.5,1.23,2.15,816,25.69,1470,38.8,5663,4.53,0.92,286.93,38.92,15.97
FALSE POSITIVE,2.99,171.98,0.01,5.41,589,1.7,918,48.5,4667,4.58,0.73,287.75,38.93,15.84
CONFIRMED,1.59,170.65,0.51,1.96,15000,11.3,1539,1009.3,5934,4.49,0.89,285.21,39.03,15.53
CONFIRMED,20.51,181.43,0.26,4.06,2110,3.41,518,78.5,4905,4.54,0.76,289.32,39.15,15.4
CONFIRMED,3.34,171.98,0.47,1.91,1630,2.03,656,71.6,3950,4.75,0.49,286.08,39.28,15.95
FALSE POSITIVE,2.51,171,1.26,2.01,1340,30.26,1326,64.9,5926,4.51,0.94,295.38,40.49,15.56
CONFIRMED,18.65,174.77,0.08,4.41,894,3.12,701,46.1,5775,4.41,1.05,290.46,40.56,15.39
CONFIRMED,4.9,138.61,0.53,4.17,141,1.7,1262,50.6,5847,4.19,1.4,297.03,48.21,12.49
CONFIRMED,9.75,138.79,0.95,4.79,418,2.76,870,28.5,5775,4.41,1.05,290.46,40.56,15.39
CONFIRMED,38.56,163.85,0.91,5.79,993,4.02,550,39.7,5775,4.41,1.05,290.46,40.56,15.39
CONFIRMED,3.53,170.05,0.12,2.6,22300,11.58,975,1996.7,5150,4.57,0.79,290.58,40.58,15.22
CONFIRMED,7.75,175,0.52,3.6,2470,5.52,964,113.2,5973,4.44,1.09,294.49,39.77,15.67
CONFIRMED,23.97,186.22,0.42,3.83,1180,1.8,329,27.5,3747,4.73,0.52,283.87,39.9,15.41
CONFIRMED,8.11,176.34,0.57,2.27,1560,2.1,460,56.4,3692,4.75,0.52,288.81,40.03,15.88
FALSE POSITIVE,38.04,196.93,0.5,4.35,82900,27.5,500,1300,5575,4.52,0.93,294.15,40.06,15.47
FALSE POSITIVE,4.64,173.65,1.28,35.51,2450,30.09,1155,296.9,6463,4.5,0.83,295.11,40.07,15.27
FALSE POSITIVE,3.75,171.67,1.12,5.06,616,13.65,1031,138.2,5514,4.57,0.83,291.06,50.27,13.5
CONFIRMED,14.75,138.78,0.17,6.1,430,2.89,874,107.4,5847,4.19,1.4,297.03,48.21,12.49
CONFIRMED,21.81,174.01,0.05,4.38,1180,3.38,639,37.8,5601,4.41,1,294.78,40.15,15.54
FALSE POSITIVE,7.92,172.18,0.73,3.31,15100,10.34,814,389,5690,4.59,0.78,283.54,40.22,15.81
CONFIRMED,15.38,173.61,0.69,3.32,15300,11.01,600,166,4986,4.5,0.83,283.25,40.36,16.42
CONFIRMED,8.1,176.95,0.05,3.16,888,2.11,687,39.3,4861,4.57,0.73,283.22,40.42,15.29
CONFIRMED,4.72,134.96,0.26,2.51,418,1.46,823,21.3,4861,4.57,0.73,283.22,40.42,15.29
CONFIRMED,6.37,171.14,0.52,2.97,781,2.44,914,70.8,5776,4.55,0.85,291.15,40.42,15.09
FALSE POSITIVE,5.98,174.78,0.94,3.07,962,3.86,1047,50.3,6108,4.47,1,294.22,40.42,15.55
FALSE POSITIVE,2.45,170.67,1.24,4.72,1180,26.25,1261,110.2,5764,4.55,0.86,298.96,40.86,15.02
CONFIRMED,3.04,169.95,0.74,1.84,10900,8.99,1021,568.2,5035,4.52,0.79,299.32,40.82,15.03
CONFIRMED,15.34,174,0.77,3.9,3080,5,610,86.6,5251,4.58,0.82,292.24,41.09,15.86
CONFIRMED,7.96,137.8,0.71,4.38,50,1.06,1074,14.7,5847,4.19,1.4,297.03,48.21,12.49
CONFIRMED,31.33,153.43,0.8,5.18,5070,6.5,481,117.2,5251,4.58,0.82,292.24,41.09,15.86
FALSE POSITIVE,3.9,173.39,0.71,3.83,16200,12.28,1104,323.4,5810,4.53,0.9,294.06,40.55,15.02
FALSE POSITIVE,9.29,171.82,0.38,3.5,44800,17.61,796,1671.1,5670,4.52,0.82,294.74,40.53,15.37
FALSE POSITIVE,3.95,173.28,1.28,2.19,2450,31.44,1133,117.2,6046,4.54,0.87,295.5,40.51,15.45
CONFIRMED,23.65,171.38,0.01,8.22,3340,7.89,731,266.3,5739,4.19,1.38,287.9,40.64,15.08
CONFIRMED,13.23,140.32,0.01,6.74,505,3.06,888,49.1,5739,4.19,1.38,287.9,40.64,15.08
CONFIRMED,6.16,134.82,0.24,4.98,285,2.32,1146,35.1,5739,4.19,1.38,287.9,40.64,15.08
CONFIRMED,2.09,134.17,0.75,3.39,116,1.62,1642,19.9,5739,4.19,1.38,287.9,40.64,15.08
CONFIRMED,3.18,133.5,0.2,3.58,120,1.53,1458,50.4,5847,4.19,1.4,297.03,48.21,12.49
CONFIRMED,50.45,178.5,0.38,7.16,370,2.67,568,19.4,5739,4.19,1.38,287.9,40.64,15.08
CONFIRMED,11.76,180.94,0.05,2.91,1040,2.35,616,48.9,4959,4.6,0.76,294.2,40.66,15.21
CONFIRMED,56.23,132.29,0.7,3.57,863,2.37,366,20.9,4959,4.6,0.76,294.2,40.66,15.21
FALSE POSITIVE,2.38,171.58,1.18,3.09,1270,17.06,1010,50.5,4794,4.58,0.7,299.64,40.69,15.84
CONFIRMED,7.95,174.66,0.3,2.63,875,2.25,696,38.4,4768,4.54,0.78,291.16,40.75,15.66
CONFIRMED,4.14,135.93,0,2.34,392,1.48,864,22.8,4768,4.54,0.78,291.16,40.75,15.66
FALSE POSITIVE,4.86,173.01,1.26,2.28,6040,38.33,1114,269.7,6072,4.47,0.99,292.21,40.76,15.31
CONFIRMED,10.53,176.52,0.64,2.52,9770,8.24,713,482.3,5386,4.55,0.79,293.88,41.66,15.31
CONFIRMED,4.58,169.97,0.05,2.71,3810,5.39,1038,99.5,5815,4.54,0.88,299.19,41.74,15.29
CONFIRMED,3.76,171.9,0.93,3.52,511,2.66,1121,35.9,5653,4.47,0.95,283.32,41.84,15.26
CONFIRMED,8.2,169.69,0.82,2.97,1020,3.01,742,54.4,5015,4.5,0.83,286.57,41.81,15.38
CONFIRMED,14.5,143.42,0.97,4.02,648,3.01,613,25.7,5015,4.5,0.83,286.57,41.81,15.38
CONFIRMED,12.72,175.36,0.43,3.1,1150,2.31,562,52.7,4702,4.59,0.69,292.91,41.06,15.39
CONFIRMED,36.07,198.58,0.26,4.32,1560,2.64,397,51.7,4702,4.59,0.69,292.91,41.06,15.39
CONFIRMED,4.19,171.44,0.46,2.86,2880,6.21,1234,240.6,6073,4.39,1.14,293.5,41.14,15.27
CONFIRMED,3.71,171.99,0.02,3.07,2020,4.35,1151,116.1,5727,4.46,0.98,283.86,41.35,15.58
CONFIRMED,16.33,177.3,0.79,6.27,1190,3.75,727,74.6,5878,4.44,0.99,288.51,41.3,15.45
CONFIRMED,27.81,186.71,0.78,4.22,25400,13.84,554,748.1,5862,4.58,0.79,296.89,41.4,15.48
CONFIRMED,80.87,203.9,0.53,11.2,3600,7.59,452,160.9,5510,4.22,1.24,287.15,41.57,15.2
FALSE POSITIVE,3.17,172,1.27,2.94,4360,26.82,954,122.1,4968,4.58,0.7,284.87,41.68,16
CONFIRMED,24.99,138.68,0.69,5.94,270,2.29,712,62,5718,4.18,1.32,287.36,38.65,12.38
CONFIRMED,10.36,170.94,0.03,3.18,751,2.47,777,49.2,5501,4.46,0.92,288.99,41.63,15.02
CONFIRMED,16.09,180.28,0.87,3.98,1440,3.68,613,62.6,5239,4.52,0.83,292.11,42.38,15.22
CONFIRMED,7.49,174.95,0.02,2.73,1120,2.56,753,53,5103,4.56,0.79,291.64,42.44,15.6
CONFIRMED,36.28,201.29,0.04,4.79,1570,3.03,445,45.5,5103,4.56,0.79,291.64,42.44,15.6
CONFIRMED,17.46,137.27,0.59,2.26,812,2.32,568,22.6,5103,4.56,0.79,291.64,42.44,15.6
CONFIRMED,56.06,201.17,0.02,4.69,1630,1.94,233,27.4,3593,4.76,0.49,289.51,41.81,15.85
CONFIRMED,41.41,195.79,0.38,5.03,22800,11.38,453,907.8,5522,4.59,0.75,291.76,41.94,15.2
CONFIRMED,5.72,174.88,0.35,2.52,908,2.47,850,59.4,5237,4.57,0.83,285.11,42.03,15.09
CONFIRMED,49.18,141.91,0.04,11.34,1650,8.2,669,355.7,5626,3.91,2.06,294.56,46.06,12.65
CONFIRMED,20.03,146.91,0.96,1.61,421,2.28,559,10.7,5237,4.57,0.83,285.11,42.03,15.09
FALSE POSITIVE,13.61,173.99,1.08,2.59,5730,19.02,733,184.1,5697,4.46,0.9,289.9,42.01,15.06
FALSE POSITIVE,10.44,175.4,0.23,2.74,1160,2.66,667,51.7,4947,4.52,0.8,286.24,42.15,15.55
CONFIRMED,2.24,170.82,0.13,1.81,316,1.41,1160,30.7,5265,4.58,0.81,290.01,42.12,15
FALSE POSITIVE,5.85,173.82,0.21,3.11,33000,14.62,901,1630.4,5532,4.53,0.81,284.09,42.23,15.33
CONFIRMED,3.17,172.15,0.03,2.18,781,2.62,1221,64.8,5895,4.5,0.94,293.82,42.21,15.53
CONFIRMED,4.31,173.58,0.2,2.73,1150,3.11,1038,86.1,5527,4.48,0.93,287.24,42.3,15.6
CONFIRMED,20.05,188.09,0.38,4.56,841,2.69,622,37.8,5527,4.48,0.93,287.24,42.3,15.6
CONFIRMED,9.77,186.58,0.9,1.66,569,2.67,791,21.1,5527,4.48,0.93,287.24,42.3,15.6
CONFIRMED,190.32,312.68,0.81,15.28,1140,7.78,426,139.3,5626,3.91,2.06,294.56,46.06,12.65
FALSE POSITIVE,2.86,171.65,0.97,1.88,1010,4.37,1355,58.3,6126,4.46,1.02,291.67,42.34,15.62
CONFIRMED,26.44,194.12,0.03,3.98,1840,3.91,562,88,5427,4.46,0.93,292.87,42.97,15.16
CONFIRMED,51.54,174.06,0.18,6.4,3640,5.51,450,155.5,5427,4.46,0.93,292.87,42.97,15.16
CONFIRMED,5.9,136.78,0.21,2.9,702,2.43,926,59.3,5427,4.46,0.93,292.87,42.97,15.16
CONFIRMED,2.38,135.08,0.48,1.89,392,1.86,1253,41.4,5427,4.46,0.93,292.87,42.97,15.16
CONFIRMED,21.02,207.68,0.04,4.11,1770,3.07,521,62.4,5067,4.59,0.75,294.91,42.94,15.86
CONFIRMED,3.22,133,0.06,2.06,488,1.69,998,30.5,5103,4.56,0.79,291.64,42.44,15.6
CONFIRMED,5.91,172.18,0.17,2.33,961,1.73,585,62.8,4072,4.7,0.57,292.14,42.43,15.04
CONFIRMED,8.99,175.68,0.01,2.86,881,1.65,509,51.8,4072,4.7,0.57,292.14,42.43,15.04
FALSE POSITIVE,12.94,179.42,0.9,2.48,42500,22.94,723,307.5,5875,4.57,0.81,291.12,42.51,15.22
CONFIRMED,33.6,186.68,0.67,4.41,7430,8.46,495,247.9,5149,4.45,0.93,289.27,42.6,15.26
CONFIRMED,6.77,138.06,0.43,2.9,451,1.97,845,29.2,5149,4.45,0.93,289.27,42.6,15.26
CONFIRMED,4.35,172.23,0.03,2.1,452,2.36,1174,39.7,5754,4.35,1.12,291.96,42.7,15.02
CONFIRMED,4.6,169.98,0.57,2.26,756,2.35,896,60.8,4986,4.5,0.83,296.48,42.66,15.02
CONFIRMED,11.19,137.18,0.39,3.25,354,1.55,667,21.9,4986,4.5,0.83,296.48,42.66,15.02
FALSE POSITIVE,7,171.9,7.36,2.05,20300,588.66,853,192.3,5612,4.57,0.83,287.88,42.83,15.88
CONFIRMED,5.95,170.96,0.33,2.39,1410,2.33,635,87.2,4261,4.64,0.63,293.64,42.82,15.02
CONFIRMED,12.04,181.23,0.29,2.74,1250,2.18,502,57.6,4261,4.64,0.63,293.64,42.82,15.02
CONFIRMED,20.84,132.08,0.71,2.37,439,1.42,418,14.9,4261,4.64,0.63,293.64,42.82,15.02
FALSE POSITIVE,8.81,136.46,1.22,5.07,401,63.66,1399,76.8,6200,3.8,2.4,294.46,38.38,12.76
CONFIRMED,23.59,173.82,0.93,5.07,1200,3.16,487,53.3,4919,4.57,0.72,297.46,42.84,15.32
CONFIRMED,6.48,122.98,0.83,3.78,299,2.54,1145,125.6,5945,4.21,1.3,290.39,40.28,12.37
CONFIRMED,10.37,172.62,0.54,3.04,1250,3.2,720,64.5,5121,4.46,0.89,290.39,43.36,15.19
CONFIRMED,4.41,172.19,0.9,5.01,549,2.66,1139,45.1,6007,4.46,0.96,292.97,43.35,15.66
FALSE POSITIVE,7.94,174.53,0.94,6.7,1590,4.68,878,60.4,5811,4.52,0.93,299,43.4,15.26
CONFIRMED,226.89,207.36,0.73,7.56,3140,4.53,236,46.8,5067,4.59,0.75,294.91,42.94,15.86
FALSE POSITIVE,1.96,170.69,1.09,2.2,24900,21.58,1109,125.4,5209,4.66,0.6,295.84,42.94,15.53
CONFIRMED,9.44,177.19,0.05,2.9,3040,4.16,686,175.2,5097,4.6,0.78,288.64,43.04,15.07
CONFIRMED,11.52,131.97,0,3.88,507,3.13,927,142,5644,4.16,1.41,284.48,44.4,12.35
CONFIRMED,20.48,178.67,0.5,2.84,1380,2.92,530,52.7,5097,4.6,0.78,288.64,43.04,15.07
CONFIRMED,3.34,135.32,0.25,1.96,516,1.74,970,41.6,5097,4.6,0.78,288.64,43.04,15.07
CONFIRMED,8.01,170.21,0.19,2.31,1330,1.72,453,48.5,3713,4.78,0.47,294.77,43.06,15.85
CONFIRMED,12.07,143.46,0.01,4.32,759,1.29,395,31,3713,4.78,0.47,294.77,43.06,15.85
CONFIRMED,21,152.32,0.23,2.63,767,1.3,328,18.2,3713,4.78,0.47,294.77,43.06,15.85
CONFIRMED,7.41,175.35,0.71,2.52,621,2.45,905,50.4,5849,4.52,0.92,295.65,43.03,15.03
FALSE POSITIVE,1,169.97,0.91,1,1820,4.14,1620,147.4,5472,4.5,0.79,297.98,43.16,15.42
CONFIRMED,8.88,169.99,0.07,2.07,16100,10.51,770,388.2,5332,4.5,0.84,291.14,36.58,15.26
CONFIRMED,8.1,176.62,0.02,4.2,6910,8.95,986,435.9,6214,4.44,1.08,282.7,43.27,15.26
CONFIRMED,10.01,176.97,0.86,5.34,936,3.52,876,71.9,6063,4.47,1,283.63,43.38,15.06
CONFIRMED,17.86,146.6,0.08,7.41,9070,13.16,911,915.7,6823,4.31,1.37,297.45,41.01,11.35
CONFIRMED,5.01,173.43,0.34,4.24,6930,6.96,998,431.4,5865,4.56,0.83,295.54,43.88,15.81
CONFIRMED,2.21,170.15,0.69,1.65,724,1.85,931,42.6,4500,4.66,0.65,285.17,44.03,15.79
CONFIRMED,27.95,178.74,0.06,3.95,943,1.9,400,25.4,4500,4.66,0.65,285.17,44.03,15.79
CONFIRMED,12.69,137.13,0.01,3.77,252,2.57,1008,60.2,5869,4.02,1.63,292.93,48.6,12.94
FALSE POSITIVE,4.41,171.89,0.03,3.86,12900,10.95,1101,85.8,5600,4.37,0.98,296.41,43.46,15.4
CONFIRMED,16.24,175.57,0.04,4.04,2590,4.14,598,123.8,5191,4.56,0.84,293.06,43.58,15.26
CONFIRMED,6.31,174.05,0.03,2.98,1330,2.96,819,86.2,5191,4.56,0.84,293.06,43.58,15.26
CONFIRMED,2.05,169.89,0.44,2.08,14300,13.12,1497,1072.1,5855,4.39,1.08,299.56,43.5,15.26
CONFIRMED,9.77,175.71,0.09,2.45,1900,2.23,460,58,3906,4.73,0.51,282.23,43.67,15.78
CONFIRMED,5.17,172.63,0.35,2.15,1040,1.66,569,41.4,3906,4.73,0.51,282.23,43.67,15.78
CONFIRMED,21.22,137.57,0.02,6.51,366,2.48,771,114.9,5945,4.21,1.3,290.39,40.28,12.37
CONFIRMED,20.09,147.98,0.89,4.15,1430,2.25,362,36.9,3906,4.73,0.51,282.23,43.67,15.78
CONFIRMED,7.11,174.32,0.33,2.18,808,1.16,429,44.4,3561,4.86,0.41,296.99,43.66,15.23
CONFIRMED,3.31,134.37,0,1.82,509,0.91,554,37.8,3561,4.86,0.41,296.99,43.66,15.23
CONFIRMED,15.37,147.39,0.12,2.47,756,1.11,332,30.9,3561,4.86,0.41,296.99,43.66,15.23
CONFIRMED,4.09,171.01,0.93,2.58,539,2.85,1182,36.4,6077,4.47,1,290.26,44.56,15.4
CONFIRMED,105.15,178.37,0.96,8.59,685,3.43,401,15.4,6077,4.47,1,290.26,44.56,15.4
CONFIRMED,10.85,171.81,0.21,3,1680,2.34,499,64.5,4201,4.68,0.59,295.58,44.55,15.06
